example_id                                       | status | run_time        |
------------------------------------------------ | ------ | --------------- |
./spec/mailers/application_mailer_spec.rb[1:1:1] | failed | 0.24727 seconds |
./spec/mailers/application_mailer_spec.rb[1:1:2] | failed | 0.00118 seconds |
./spec/mailers/application_mailer_spec.rb[1:1:3] | failed | 0.00096 seconds |
./spec/mailers/application_mailer_spec.rb[1:1:4] | failed | 0.00101 seconds |
./spec/mailers/application_mailer_spec.rb[1:1:5] | failed | 0.00098 seconds |
./spec/mailers/application_mailer_spec.rb[1:1:6] | failed | 0.01353 seconds |
./spec/mailers/application_mailer_spec.rb[1:1:7] | failed | 0.00094 seconds |
./spec/mailers/application_mailer_spec.rb[1:2:1] | failed | 0.00081 seconds |
./spec/mailers/application_mailer_spec.rb[1:3:1] | failed | 0.00995 seconds |
